locus_id,gene_id,nsnps,PP0,PP1,PP2,PP3,PP4
locus_01,ENSG00000146374,2073,1.73160773894461e-291,0.179799296595757,5.10629250526137e-292,0.0522525934370274,0.767948109967203
locus_01,ENSG00000111912,235,5.51250189602176e-28,0.837635850699363,1.03404581550951e-29,0.0155657376141336,0.146798411686504
locus_01,ENSG00000118518,2073,7.0589095879897e-291,0.732952937382429,1.24733314184877e-291,0.129377587636111,0.137669474981419
locus_01,ENSG00000111911,631,5.12078427440347e-47,0.828744985017247,2.47924027995783e-48,0.0399926295531188,0.131262385429637
locus_01,ENSG00000135547,177,5.76201209923525e-28,0.870811768933014,8.81210158364402e-30,0.0132017254948747,0.115986505572113
locus_01,ENSG00000227945,1340,7.97440802391468e-291,0.827346448098266,7.93216108881675e-292,0.082205884334686,0.0904476675670046
locus_01,ENSG00000184530,2073,6.84922800027073e-291,0.711180915270811,2.01536546491717e-291,0.209183284910095,0.0796357998191054
locus_01,ENSG00000066651,680,5.39514711071583e-47,0.873170646344874,2.98058279698305e-48,0.0481601898314567,0.0786691638236623
locus_01,ENSG00000237742,180,6.01007356049812e-28,0.908472370228831,8.96403689632691e-30,0.0134718280125583,0.0780558017586079
locus_01,ENSG00000189367,2073,7.57894948388916e-291,0.786950621373748,1.30111823223316e-291,0.135021936413348,0.0780274422129175
locus_01,ENSG00000232131,299,5.57021339249907e-47,0.889483300312396,2.11776171127614e-48,0.033740845545386,0.0767758541422166
locus_01,ENSG00000152894,391,2.51249682878072e-09,0.902141865871264,7.37755431832762e-11,0.0264185465597264,0.0714395849827353
locus_01,ENSG00000289190,391,2.48800422626877e-09,0.893347505664692,1.19343846267012e-10,0.0427879627522644,0.0638645289756941
locus_01,ENSG00000093144,2073,7.70176492161812e-291,0.799703006811935,1.33674965776082e-291,0.138738148955917,0.0615588442321704
locus_01,ENSG00000172673,1513,7.26803631718702e-291,0.753962328781146,1.82437954618844e-291,0.189198330996804,0.0568393402220253
locus_01,ENSG00000203760,1266,2.0424877191304e-294,0.000211715339693158,9.64512739698538e-291,0.999771685384684,1.65992755991015e-05
locus_02,ENSG00000124587,1635,3.38514984440371e-173,0.61848604889401,7.12433554525147e-174,0.129914045484115,0.251599905621859
locus_02,ENSG00000236961,2593,3.51370681965099e-173,0.639819072734603,8.85072180721771e-174,0.160965643094333,0.199215284171075
locus_02,ENSG00000096080,2593,3.58173331792595e-173,0.65220617652034,9.27273749514873e-174,0.168670316995409,0.17912350648427
locus_02,ENSG00000124571,2593,4.12667377275766e-173,0.751435655359052,9.66216322343244e-174,0.175867887989759,0.0726964566511737
locus_02,ENSG00000112659,2314,4.02385835740071e-173,0.7343127268951,1.08812634986035e-173,0.198504674609855,0.0671825984950614
locus_02,ENSG00000112624,920,2.86827857854366e-08,0.867027703876551,2.38666769988641e-09,0.0720836733496786,0.0608885917043176
locus_02,ENSG00000112651,1937,4.44650071346742e-173,0.813394699075808,7.17427400630252e-174,0.131182978894671,0.0554223220295067
locus_02,ENSG00000112619,832,2.91505437149827e-08,0.879912123786321,2.16425761261247e-09,0.0652735216060213,0.054814323292856
locus_02,ENSG00000044090,1922,4.30155675955622e-173,0.786943215750222,8.69160984411351e-174,0.158953525446278,0.0541032588034799
locus_02,ENSG00000096384,2593,4.16821538791523e-173,0.759000064985196,1.04530425393423e-173,0.190291181679123,0.0507087533356667
locus_02,ENSG00000137161,1441,4.58538849354461e-173,0.843163574579352,5.85505010206262e-174,0.10761373717538,0.0492226882452434
locus_02,ENSG00000112655,1985,4.37533055184324e-173,0.799747418291613,8.30878085763155e-174,0.151824120625355,0.0484284610830252
locus_02,ENSG00000112667,2444,4.23900090384548e-173,0.772284802294889,9.90873903559648e-174,0.180475688904726,0.0472395088004124
locus_02,ENSG00000137171,1879,4.05929251261287e-173,0.742948287322812,1.14933059796483e-173,0.210308434791319,0.0467432778858707
locus_02,ENSG00000112640,1667,4.60205061709949e-173,0.841479065099592,6.33166335257602e-174,0.115730863931325,0.0427900709690683
locus_02,ENSG00000287825,1441,4.66055155096458e-173,0.856984595908243,5.49809122402882e-174,0.101057223630237,0.0419581804615335
locus_02,ENSG00000172432,2593,4.27867723714618e-173,0.779114320833814,9.87418135157135e-174,0.179760146475639,0.0411255326905414
locus_02,ENSG00000146215,2593,4.17465102014582e-173,0.760171944273249,1.09808299502908e-173,0.199912579061562,0.0399154766651742
locus_02,ENSG00000171611,1400,4.60602785175574e-173,0.847120835994756,6.2121693347902e-174,0.114212880811173,0.0386662831940697
locus_02,ENSG00000124733,1784,4.57719752646809e-173,0.836972694185923,6.92002539280677e-174,0.126500995029749,0.0365263107843255
locus_02,ENSG00000124496,299,3.10091419721143e-08,0.942269992405173,7.02956986803422e-10,0.021324239301972,0.0364057365807579
locus_02,ENSG00000171467,2593,4.29170421786588e-173,0.78148643414674,1.00034332026916e-173,0.182118454009712,0.0363951118435757
locus_02,ENSG00000024048,482,3.05971541883216e-08,0.926014622277325,1.27001554173987e-09,0.0384010937124847,0.0355842521430214
locus_02,ENSG00000271754,2593,4.27285087201361e-173,0.778053384413141,1.03540957784895e-173,0.188506705868759,0.0334399097181159
locus_02,ENSG00000157593,2593,4.29968138368421e-173,0.782939014882386,1.00919791657761e-173,0.183733876113298,0.0333271090042974
locus_02,ENSG00000231113,1481,4.68602023297265e-173,0.861738241628297,5.74782494714807e-174,0.105667345341623,0.0325944130300564
locus_02,ENSG00000124659,918,2.86866774186268e-08,0.867100576890321,3.32587906972828e-09,0.100497597479016,0.0324017936181056
locus_02,ENSG00000146223,1329,4.70060725514221e-173,0.865485401239665,5.56281225832172e-174,0.102391511521837,0.0321230872385092
locus_02,ENSG00000286417,1737,4.6177426209361e-173,0.837811180776006,7.17311889868085e-174,0.130112015400525,0.0320768038234967
locus_02,ENSG00000124702,1778,4.48683813206697e-173,0.820452205542627,8.07619518767532e-174,0.147647422105653,0.0319003723516922
locus_02,ENSG00000124541,1801,4.55056832316501e-173,0.832155376110677,7.45724941939343e-174,0.13633805773105,0.031506566158245
locus_02,ENSG00000272223,1849,4.37200239049276e-173,0.800117472261981,9.2031993410735e-174,0.168395699064823,0.0314868286732225
locus_02,ENSG00000124574,2593,4.31932872903727e-173,0.786516645837589,1.0078040257458e-173,0.183483386420862,0.0299999677415425
locus_02,ENSG00000203362,2593,4.30997107703815e-173,0.784812689152425,1.01718111316653e-173,0.185190885689873,0.0299964251577083
locus_02,ENSG00000124713,1550,4.37028651891633e-173,0.802586386409937,9.11839412766519e-174,0.16742582915361,0.0299877844364308
locus_02,ENSG00000124608,2556,4.28864937511892e-173,0.780210454316982,1.04393199325642e-173,0.189886918145919,0.0299026275370962
locus_02,ENSG00000221821,1360,4.44991153173164e-173,0.818762351708655,8.24461766125081e-174,0.151667435382109,0.0295702129092296
locus_02,ENSG00000112658,2281,4.46906463647512e-173,0.815999773187068,8.46723483815566e-174,0.154572536467113,0.0294276903457934
locus_02,ENSG00000096401,2427,4.13954764401239e-173,0.752067318556741,1.20314428201279e-173,0.218556220764915,0.0293764606783624
locus_02,ENSG00000272170,1980,4.4198498053598e-173,0.807959356748535,8.90609945998773e-174,0.162776412607166,0.0292642306443069
locus_02,ENSG00000171453,2593,4.19519036741258e-173,0.763912001938076,1.1380019200062e-173,0.207192529254633,0.0288954688073093
locus_02,ENSG00000204052,2593,4.22481598454071e-173,0.769306599681434,1.11077055687861e-173,0.202234343220074,0.0284590570984677
locus_02,ENSG00000170734,2593,4.24926531113917e-173,0.773758634605271,1.08802392151105e-173,0.19809266567245,0.0281486997222652
locus_02,ENSG00000112715,2593,4.14915246646161e-173,0.75552885314138,1.18950751705595e-173,0.216572300212987,0.0278988466456457
